admin_id,registration_id,Manufacturer,registration,aircraft_id
1,14528,Swearingen ,C-FIPW,1390
1,5430,Cessna ,N7392B,1647
1,4447,Britten-Norman,N6522T,708
1,4653,Bushmaster ,N750RW,2307
1,13202,Lockheed ,84-0211,1092
1,4465,Britten-Norman,N902GD,1215
1,7453,Dornier ,LN-BER,1733
1,6841,De Havilland Canada,C-FODV,304
1,10385,Embraer ,ZS-OWO,1332
1,11649,Howard ,N6371C,1063
1,1725,Antonov ,ST-SAF,579
1,11007,Fokker ,S2-ACH,1381
1,12476,Let ,9XR-KL,1217
1,12478,Let ,9XR-RC,1217
1,2873,Boeing ,9G-MKJ,2308
1,4939,Canadair ,N8396A,2309
1,4555,Britten-Norman,RP-C1325,1157
1,187,Airbus ,B-22310,2136
1,4177,British Aerospace,N875JX,2141
1,5024,Cessna ,5H-AXL,1687
1,1724,Antonov ,ST-SAD,1031
1,4749,CASA ,T.12B-54,1175
1,3490,Boeing ,N709CK,1283
1,2492,Beech ,N79YV,1602
1,5182,Cessna ,G-TWIG,1823
1,3714,Boeing ,PP-BSE,1301
1,12230,Learjet ,N30DK,1245
1,2431,Beech ,N501RH,1206
1,14137,Rockwell ,XA-GUR,1044
1,5177,Cessna ,G-BZAH,2310
1,3823,Boeing ,TF-ARR,2311
1,15435,Yakovlev ,YV-1100CP,916
1,12438,Let ,5H-PAC,2243
1,4223,British Aerospace,YV-1083C,1581
1,6979,De Havilland Canada,HB-LOK,971
1,2631,Beech ,YV-2584P,1206
1,11664,IAI ,3D-DAC,1291
1,4841,Canadair ,B-3072,2309
1,11346,Gulfstream ,N85VT,2027
1,11532,Hawker ,L5-2/16,741
1,5030,Cessna ,5H-RAS,1823
1,4716,CASA ,N960BW,1445
1,4944,Canadair ,N873G,1497
1,3664,Boeing ,PH-BTC,1820
1,13850,McDonnell Douglas,PK-LMN,1588
1,13687,MBB ,N604GA,654
1,11310,Gulfstream ,G-GMAC,1909
1,2163,Beech ,C-FMHD,2312
1,5921,Convair ,N41626,2313
1,5904,Convair ,N161FL,1903
1,5306,Cessna ,N25SA,1687
1,3520,Boeing ,N750DH,2314
1,2469,Beech ,N6PE,1544
1,14027,PZL-Mielec ,GN-97121,2179
1,2462,Beech ,N648KA,1206
1,10359,Embraer ,PT-WAK,1960
1,11963,Ilyushin ,ER-IBW,1539
1,14364,Short ,N748CC,1610
1,8978,Douglas ,HK-2663,10
1,2179,Beech ,C-GAIK,1128
1,13205,Lockheed ,85-0012,2227
1,11961,Ilyushin ,ER-IBM,1539
1,5324,Cessna ,N35403,1404
1,3710,Boeing ,PK-YGM,2315
1,1392,Antonov ,PNP-234,1537
1,4971,Canadair ,VT-SAL,2214
1,585,Antonov ,9Q-CIH,579
1,13862,McDonnell Douglas,VP-BGI,1828
1,11282,Grumman ,N74RQ,1110
1,10279,Embraer ,N49BA,1332
1,1567,Antonov ,RA-62597,109
1,2604,Beech ,VH-SGT,1544
1,5134,Cessna ,CP-2412,1687
1,1254,Antonov ,EL-WVA,1146
1,13776,McDonnell Douglas,EC-GQG,2316
1,3565,Boeing ,N808MC,2317
1,7430,Dornier ,D-CICE,1803
1,12511,Let ,HA-LAR,2318
1,12349,Learjet ,N911AE,1245
1,13659,Lockheed ,XV179,832
1,5621,Cessna ,SE-KYH,1647
1,99,ATR ,OY-JRJ,2023
1,4915,Canadair ,N370V,1326
1,12035,Ilyushin ,ST-EWB,1539
1,3120,Boeing ,EX-037,2319
1,6695,De Havilland Canada,6V-AHL,2320
1,6543,Dassault ,PR-SUL,752
1,5355,Cessna ,N500AT,1928
1,11537,Hawker ,N21SA,1208
1,7191,De Havilland Canada,P2-MFQ,970
1,4718,CASA ,P-2032,2163
1,5870,Convair ,FAB-73,609
1,7207,De Havilland Canada,PK-LTY,971
1,11713,IAI ,XC-COL,1521
1,2538,Beech ,N988SC,1206
1,1293,Antonov ,EY-46399,764
1,269,Airbus ,F-OJHH,2321
1,5682,Cessna ,YV-21CP,1102
1,1900,Antonov ,YV-280C,702
1,4170,British Aerospace,N703TS,1366
1,5631,Cessna ,V3-HFW,1687
1,4931,Canadair ,N660RM,1326
1,4947,Canadair ,N8932C,2322
1,4366,Britten-Norman,G-BOMG,1656
1,1382,Antonov ,OB-1778-P,2323
1,1538,Antonov ,RA-46489,969
1,4893,Canadair ,I-DPCK,2013
1,2871,Boeing ,9G-IRL,1715
1,2159,Beech ,C-FJMF,1478
1,11962,Ilyushin ,ER-IBR,1539
