accident_id,admin_id,accd_date,location,Fatalities,registration_id,cat,Country,aircraft_id
2290,1,01/15/1960,near Sverdlovsk,1,4134,A1,Russia,36
2291,1,01/18/1960,near Charles City...,50,10477,A1,USA,367
2292,1,01/19/1960,near Ankara-Esenb...,42,11621,A1,Turkey,448
2293,1,01/20/1960,near Brindisi,5,8201,A1,Italy,19
2294,1,01/21/1960,Montego Bay ...,37,7266,A1,Jamaica,292
2295,1,01/22/1960,Mackay Airpo...,0,14087,A2,Australia,449
2296,1,01/26/1960,near Bathurst Isl...,9,5329,A1,Australia,353
2297,1,01/26/1960,Rio de Janei...,0,12179,A1,Brazil,302
2298,1,01/26/1960,Rio de Janei...,0,15379,O1,Brazil,427
2299,1,01/29/1960,Port Hardy A...,0,5103,A1,Canada,424
2300,1,01/29/1960,Nagpur,0,3091,A2,India,104
2301,1,02-03-1960,Roswell-Walk...,8,1692,A1,USA,378
2302,1,02-03-1960,Roswell-Walk...,0,1736,O1,USA,378
2303,1,02-03-1960,Roswell-Walk...,0,1737,O1,USA,378
2304,1,02-05-1960,near Cochabamba-J...,59,5266,A1,Bolivia,54
2305,1,02-07-1960,Straits of F...,3,520,A1,Atlantic Ocean,257
2306,1,02/13/1960,Wrightstown-...,0,9621,A1,USA,2
2307,1,02/17/1960,Hon Chay Mou...,3,451,A1,Vietnam,97
2308,1,02/17/1960,Amsterdam-Sc...,0,6542,A2,Netherlands,111
2309,1,02/19/1960,,0,4834,A1,Russia,109
2310,1,02/19/1960,,0,13452,U1,Unknown country,7
2311,1,02/19/1960,"Madeira, OH",3,9163,A1,USA,450
2312,1,02/20/1960,Buenos Aires...,0,8015,A1,Argentina,435
2313,1,02/20/1960,Reykjavík-Na...,0,240,A1,Iceland,338
2314,1,02/22/1960,Anchorage-El...,0,8364,A1,USA,451
2315,1,02/25/1960,Havana-Ciuda...,4,527,A1,Cuba,452
2316,1,02/25/1960,Rio de Janei...,26,12143,A1,Brazil,10
2317,1,02/25/1960,near Rio de Janei...,35,216,A1,Brazil,196
2318,1,02/26/1960,near Lviv-Snilow ...,32,4071,A1,Ukraine,453
2319,1,02/26/1960,Shannon Airp...,34,7691,A1,Ireland,360
2320,1,02/27/1960,"Liberty, SC",0,1449,A1,USA,324
2321,1,02/29/1960,Chicago-Midw...,0,10333,A1,USA,168
2322,1,03-01-1960,near Gan RAF Stat...,0,13677,A1,Maldives,68
2323,1,03-02-1960,London Airpo...,0,6541,A2,U.K.,111
2324,1,03-03-1960,Woolsington ...,0,6600,A2,U.K.,259
2325,1,03-03-1960,,0,13449,U1,Unknown country,7
2326,1,03-05-1960,near Botricello,0,1561,A1,Italy,324
2327,1,03-05-1960,Birmingham A...,0,6618,A1,U.K.,5
2328,1,03-08-1960,Fort Worth-C...,0,1738,A1,USA,378
2329,1,03-08-1960,London Airpo...,0,6579,A1,U.K.,155
2330,1,03-08-1960,near Jérez del Ma...,0,1723,A1,Spain,74
2331,1,03-09-1960,near Paloh,0,14840,A1,Malaysia,421
2332,1,03-09-1960,,0,13443,U1,Unknown country,7
2333,1,03-10-1960,Jorhat-Rowri...,2,6650,A1,India,441
2334,1,03/14/1960,Madrid-Baraj...,0,6689,A2,Spain,435
2335,1,03/15/1960,El Refugio,6,7171,A1,Colombia,135
2336,1,03/15/1960,Monte Argentera,6,6932,A1,Italy,380
2337,1,03/16/1960,Nagoya-Komak...,3,7762,A1,Japan,8
2338,1,03/16/1960,near Amatice,6,971,A1,Italy,31
2339,1,03/17/1960,"near Cannelton, IN",63,8394,A1,USA,454
2340,1,03/18/1960,over France,0,6674,A2,France,455
2341,1,03/19/1960,near Planeta Rica,25,7436,A1,Colombia,2
2342,1,03/20/1960,near Chimbote,4,11390,A1,Peru,5
2343,1,03/23/1960,Ras Alsheikh...,0,9904,C1,Saudi Arabia,135
2344,1,03/25/1960,"DEW Site 28, NU",0,5067,A1,Canada,2
2345,1,03/25/1960,near Kunsan,14,1577,A1,South Korea,456
2346,1,03/25/1960,near Wiesbaden AF...,0,929,A1,Germany,32
2347,1,03/30/1960,near Cape Canaver...,3,1371,A1,Atlantic Ocean,272
2348,1,03/30/1960,near Kromeriz,7,667,A1,Czech Rep.,457
2349,1,04-05-1960,near Siuna Airpor...,2,3074,A1,Nicaragua,2
2350,1,04-12-1960,Pelotas-Fede...,10,12174,A1,Brazil,330
2351,1,04/14/1960,"Miami, FL",0,5355,A1,USA,2
2352,1,04/14/1960,near Taipei-Songs...,18,856,A1,Taiwan,458
2353,1,04/15/1960,"Lincoln AFB,...",0,1468,A1,USA,230
