admin_id,aircraft_id,type,Manufacturer,Military / Commercial
1,2253,Mitsubishi Mu-300 Diamond IA,Mitusbishi,C
1,2254,Boeing 737-217 Adv,Boeing ,C
1,2255,Canadair CL-415,Canadair ,M
1,2256,Boeing 737-4B6,Boeing ,C
1,2257,Cessna 500 Citation I/SP,Cessna ,C
1,2258,Vickers 836 Viscount,Vickers ,C
1,2259,Sino Swearingen SJ30-2,Sino ,C
1,2260,Antonov An-12BK,Antonov ,M
1,2261,Antonov An-3T,Antonov ,C
1,2262,Boeing 737-3H4,Boeing ,C
1,2263,Cessna 560 Citation Encore+,Cessna ,C
1,2264,Rockwell T-39D Sabreliner,Rockwell ,C
1,2265,Rockwell CT-39E Sabreliner,Rockwell ,C
1,2266,Tupolev Tu-134SKh,Tupolev ,C
1,2267,Boeing 707-3J6C,Boeing ,C
1,2268,Fokker F-28 Fellowship 3000R,Fokker ,C
1,2269,Boeing 737-33V,Boeing ,C
1,2270,Beech T-1A Jayhawk,Beech ,M
1,2271,Raytheon Beechjet 400A,Raytheon ,M
1,2272,BAe 3212 Jetstream 32EP,British Aerospace,C
1,2273,Boeing 747-271C (SCD),Boeing ,C
1,2274,Convair CV-580F,Convair ,C
1,2275,Boeing 747-281F (SCD),Boeing ,C
1,2276,Shorts SC.7 Skyvan 3M-100,Short ,C
1,2277,Hawker Siddeley HS-125-403B,Hawker ,C
1,2278,Airbus A300B4-203F,Airbus ,C
1,2279,Boeing 747-258C,Boeing ,C
1,2280,Dornier 228-202,Dornier ,C
1,2281,C-17A Globemaster III,De Havilland Canada,M
1,2282,Boeing 737-2A9,Boeing ,C
1,2283,DHC-3T/M601 Turbine Otter,De Havilland Canada,C
1,2284,CASA CN-235M-200,CASA ,M
1,2285,MD-10F,McDonnell Douglas,C
1,2286,DC-9-15F,Douglas Aircraft Company,C
1,2287,Boeing 737-76N,Boeing ,C
1,2288,Boeing 737-73V,Boeing ,C
1,2289,Fokker 70,Fokker ,C
1,2290,Lockheed C-5B Galaxy,Lockheed ,M
1,2291,Boeing 747SP-86,Boeing ,C
1,2292,Swearingen SA-227AC Metro III,Swearingen ,C
1,2293,BAe 3109 Jetstream 31,British Aerospace,C
1,2294,Boeing 737-59D,Boeing ,C
1,2295,Cessna UC-35D Citation Encore,Cessna ,C
1,2296,Cessna 525 CitationJet CJ1,Cessna ,C
1,2297,Airbus A321-211,Airbus ,C
1,2298,Boeing 737-529,Boeing ,C
1,2299,Beech 300 King Air 350,Beech ,C
1,2300,Rockwell Sabreliner 60,Rockwell ,M
1,2301,CASA C-212-A27 Aviocar 200,CASA ,M
1,2302,Boeing 767-3P6ER,Boeing ,C
1,2303,Grumman HU-16A Albatross,Grumman ,C
1,2304,Shorts 360-300,Short ,M
