registration,admin_id,aircraft_id,operator,registration_id
G-ALDN,1,150,BOAC,6582
39359,1,48,US Navy,736
79001,1,151,Swedish AF,2471
TG603,1,68,RAF,13682
47002,1,152,Swedish AF,1181
SE-BDD,1,71,SAS,13053
VP261,1,123,RAF,14193
43-48723,1,31,USAF,965
124331,1,95,USMC,143
N90750,1,71,American Airlines,11033
VW164,1,49,RAF,14440
VX537,1,49,RAF,14484
F-WFUN,1,153,Nord Aviation,6382
T.2-218,1,7,Spanish AF,13431
2048,1,32,Brazilian AF,506
45-57799,1,14,USAF,1141
43-48140,1,32,USAF,933
SP-LHC,1,154,LOT,13131
CCCP-L4197,1,36,"Aeroflot, Latvia",4898
654,1,32,RCAF,2328
G-ALDB,1,155,Airwork,6576
49-138,1,56,USAF,1220
G-AHON,1,156,Crewsair,6549
49-103,1,57,USAF,1212
ZS-DFB,1,10,Tropic Airways,15405
N1030V,1,126,Pan Am,8272
T.2-175,1,7,Spanish AF,13428
984,1,12,RCAF,2686
SU-AHX,1,134,Misrair,13263
VX540,1,49,RAF,14486
N79096,1,2,private,10641
44-76273,1,31,USAF,1058
PP-ANH,1,10,T.A. Nacionales,12131
AN-A..,1,8,LANICA,3072
PP-SDD,1,10,VASD,12254
VL266,1,49,RAF,14118
VX559,1,49,RAF,14489
43-48077,1,32,USAF,925
210,1,157,Hungarian AF,522
CCCP-L1488,1,66,"Aeroflot, Far East",4869
G-AGNZ,1,158,Eagle Aviation,6536
43-16245,1,78,USAF,907
G-ALDF,1,155,Airwork,6578
G783,1,159,Pakistan AF,6926
G-AHRF,1,160,UK Ministry of Supply,6559
43-15045,1,32,USAF,858
ZS-DFW,1,161,Phoenix Airlines,15406
XA-GER,1,8,Transportes Aéreos Tampico - TAT,14607
43-15599,1,32,USAF,881
ZS-AVI,1,10,South African Airways,15392
VT-CGB,1,10,Kalinga Airlines,14269
WD492,1,103,RAF,14506
42-23967,1,4,USAF,805
XA-GUJ,1,10,Mexicana,14612
G799,1,159,Pakistan AF,6927
VX507,1,49,RAF,14479
CCCP-L4673,1,36,"Aeroflot, Far East",4923
CCCP-N591,1,109,Polyarnaya Aviatsiya,4972
42-100489,1,32,USAF,782
HA-LIL,1,83,Maszovlet,6972
CCCP-L1328,1,66,"Aeroflot, Northern",4855
CCCP-L1055,1,39,"Aeroflot, Northern",4846
SP-LAO,1,83,LOT,13119
43-48870,1,162,USAF,969
VP286,1,123,RAF,14195
127724,1,133,US Navy,169
49-175,1,56,USAF,1232
PP-AXJ,1,8,Aerovias Brasil,12144
F-BDRV,1,163,SATEPA,6122
VH-AND,1,9,ANA,13961
44-77538,1,62,USAF,1084
AP-AAZ,1,10,Orient Airways,3090
CCCP-L4875,1,83,"Aeroflot, Central Region",4934
86 / F-RAPC,1,164,French AF,2567
